11 病愈后，一起走向学校
[柊史] 「那啥，该怎么说呢，那个……手感真的非常好，不知不觉就」
[宁宁] 「一、一点都不好，不可以把这么奇怪的事情说出来的」
[柊史] 「绝对没有那回事！那是极好的——」
[宁宁] 「所以不要说得那么热切啊，不要想起来，把手捏来捏去的也不可以」
[柊史] 「我、我知道了。对不起！」
[宁宁] 「保科君真的好爱欺负人。咒语那件事也是……到头来，感觉有损失的只有我」
[宁宁] 「事到如今，就只好夺走保科君的记忆……可是已经形成长期记忆了，只能用更大的冲击把全部的记忆都夺走——」
[柊史] 「你那已经是要杀人的眼神了喂？冷静一下？」
[旁白] 不要认真地去想这种事啊！好恐怖！
[宁宁] 「下次再这样欺负人就真的生气了哦」
[柊史] 「我会注意的」
[旁白] 虽然我本来就没打算要欺负人的。
[宁宁] 「不过……真的很感谢你。又来看我，又帮我做饭，虽然咒语那个实在是太羞耻……」
[宁宁] 「不过很开心」
[柊史] 「嗯、嗯」
[旁白] 她的笑容让我看入了神，已经什么都无法思考了。
[旁白] 该说意识完全被她吸引过去了吗，还是说心被夺走了——
[宁宁] 「保科君？」
[柊史] 「啊，没有，探病的事不用太在意了。安心之后下午的课也能集中注意力了。而且……」
[旁白] 不不，不能再说下去了！差点顺口说出奇怪的事情！
[宁宁] 「………又在想些奇怪的事情呢」
[柊史] 「没有没有。才没有想些什么让人斜眼的事情」
[柊史] 「比起这个你看，再聊下去就该迟到了。赶紧走吧」
[宁宁] 「……我知道了」
[旁白] 话说，在这个地方碰面，也就意味着我要和绫地同学一起上学了？
[旁白] 再怎么偶然，也有可能会被周围的人嫉妒的……
[旁白] 可是，不知道为什么，这件事本身的吸引力让我感到『那点事根本算不上什么』。
[宁宁] 「啊，对了保科君。关于那个时候说到的梦。我一直都在在意」
[柊史] 「诶？你说什么？」
[宁宁] 「装作没有听到的样子太狡猾了」
[柊史] 「绫地同学有资格说这话吗？」
[宁宁] 「要保密到这个份上，果然是下流的梦对吧……？」
[柊史] 「所以说不是啦。真的冤枉啊」
[宁宁] 「那告诉我也没什么不可以的吧——」
[宁宁] 「明明害我说出梦、梦遗……这样的词，还不告诉我真是太不讲理了！」
[柊史] 「那不是我让你说的吧！？」
[旁白] 我梦到的，是有关绫地同学惹人怜爱的笑容的梦……这么害羞的事情当着本人的面怎么可能说得出来！
[宁宁] 「……呒……」
[旁白] 并没有察觉到我的想法，绫地同学满脸不爽地盯着我。
[旁白] 通常的话，面对这种感情我是很不擅长的，不过并没有感到现在的绫地同学心情很差。
[旁白] 话说，好近！脸，好近！
[柊史] 「……啊……那个」
[旁白] 『太近了离远一点啊！』本来想要说出这样的话的，可是心跳加速，意识都停滞了什么都说不出来。
[爱瑠] 「宁宁学姐，Ciallo！」
[宁宁] 「诶？啊，早上好，因幡同学」
[旁白] 哈，得救了……
[爱瑠] 「身体已经没问题了吗？」
[宁宁] 「是的。已经完全恢复了。谢谢你们来看望我」
[爱瑠] 「太好了。不如说我们那么多人挤过去不好意思了」
[宁宁] 「不用道歉的。倒不如说，我应该感谢你们」
[爱瑠] 「请不用在意。做人就要相互帮助嘛」
[爱瑠] 「话说……为什么宁宁学姐一大早就跟保科学长在这儿黏在一起调情啊？」
[宁宁] 「调情……？」
[旁白] 互相看了一眼，再次确认了彼此的距离。
[旁白] 那个瞬间，
[宁宁] 「——噗啊哒」
[旁白] 绫地同学的脸瞬间变得通红。
[宁宁] 「不、不是的。才没有黏在一起调情哦」
[爱瑠] 「是这样吗？微妙地～感觉二位的距离有点拉近了……发生什么了吗？」
[柊史] 「没有，只是普通地去探病而已」
[宁宁] 「是、是啊，才没有做过什么奇怪的事，什么都………………没有……」
[宁宁] 「………………………………………………………………………………………………」
[宁宁] 「……什么都、没有、哦」
[爱瑠] 「好简单易懂」
[旁白] 你红着脸把视线别过去，跟毫不掩饰没什么两样哦，绫地同学。
[爱瑠] 「反应居然这么剧烈……又做了什么奇怪的事吗？」
[宁宁] 「奇、奇怪的事才的没有，完全没有，只是像往常一样消除了————」
[爱瑠] 「消除？」
[柊史] 「哇——！哇——！哇——！」
[爱瑠] 「突、突然怎么了啊，吓死我了……」
[柊史] 「没啥突然想做一下发声练习！」
[柊史] 「因幡同学，虽然你好像在怀疑我做了些什么！我可什么都没做哦！嗯，什么都没做！」
[旁白] 为了让绫地同学不要再继续说出奇怪的话，我大声喊了起来。
[旁白] 正因如此，因幡同学好像更加怀疑了。嘛啊，毕竟太可疑了啊，我刚才的行动。
[爱瑠] 「学长……果然还是做了什么吧？」
[柊史] 「没，真的什么都没有」
[旁白] 就算说是做过什么奇怪的事情，那也是绫地同学自己。
[爱瑠] 「……难道不是因为学长神经大条没有注意到吗？」
[柊史] 「被你这么说我还真不知道怎么还口……」
[柊史] 「总之快走吧，要迟到了哦」
[爱瑠] 「啊，等下不要从后面推我啦！」
[柊史] 「……唉……」
[宁宁] 「对不起，给你添麻烦了。因为有些慌乱怎么都没法……」
[柊史] 「好了这点事不算什么。因幡同学也就是有一点点怀疑而已」
[旁白] 感觉已经习惯了。
