32 忘记了她，却留下了前行的勇气
[和奏] 「怎么了？熬夜干什么了？」
[秀明] 「什么啊？淘了一宿工口动画然后睡眠不足？」
[紬] 「真、真是H……男生真的会做这样的事吗？」
[柊史] 「你这么认真地问……我这边反而不好意思了」
[紬] 「也就是说，真的做了啊……」
[柊史] 「才没有做那样的事。又不是刚学会上网的小孩子了。到现在谁还会做那种事啊」
[和奏] 「到现在……就是说，以前是这个样子喽？」
[和奏] 「保科喜欢哪种类型的？男生的话果然喜欢大的吧？还是说Cosplay类型的？」
[紬] 「……大，大点的……Cosplay……………………呼诶诶诶，保科君大色狼」
[柊史] 「能不要随便决定我的兴趣吗？不过嘛，大一点的话当然好——不，当我没说」
[秀明] 「那为什么会睡眠不足啊？」
[柊史] 「嗯……为什么呢？我自己也不太清楚」
[柊史] 「只是，感觉有什么在意的事，完全睡不着……有种这样的印象，但是怎么也想不起来到底是什么事了」
[和奏] 「什么玩意？」
[秀明] 「啊—，不过也能理解。就算是特别在意的事，不知道什么时候突然就变得不知道是为了什么而烦恼了，这种事常有的嘛」
[柊史] 「……嗯……」
[旁白] 为什么呢……感觉又不太一样。
[旁白] 虽然自己也不太清楚……
[柊史] 「啊，这么快就打铃了啊」
[旁白] 今天真的是踩着点到的啊。
[旁白] 我们刚坐回座位，久岛老师就走进了教室。
[佳苗] 「大家，早上好。那么现在开始点名了哦」
[旁白] 像平时一样，久岛老师开始点名。
[旁白] ……咦？但是为什么……有种奇怪的违和感。
[佳苗] 「嗯，都来了呢」
[旁白] 全员出席……确实所有人都到了。
[旁白] 但是………………
[旁白] 这之前都没有这种违和感的……这是为什么啊。
[秀明] 「喂，去吃午饭吧——」
[柊史] 「嗯，是呐」
[旁白] 到最后这股违和感也没有消散。我和海道就这样走向了食堂。
[秀明] 「今天吃什么呢？」
[柊史] 「是啊……我今天感觉想吃鸡肉鸡蛋盖饭或者B套餐吧」
[秀明] 「那我的话就B套餐了」
[柊史] 「……咦？」
[秀明] 「怎么了？」
[柊史] 「不是，食堂的饭……是这个味道吗？」
[秀明] 「………？感觉味道没什么变化呢……不好吃吗？」
[柊史] 「倒也不是难吃啦……但感觉吃起来没什么味儿」
[秀明] 「什么玩意儿？」
[柊史] 「说起来……呐，我上周和海道一起吃过饭来着？」
[秀明] 「哈？没有吧。是我一个人好寂寞地吃的」
[柊史] 「也是呢……」
[旁白] 但我不觉得自己是一个人吃的。
[旁白] 那……我到底是和谁一起吃的午饭呢？
[柊史] 「下午好」
[紬] 「下午好」
[爱瑠] 「啊，Ciallo」
[憧子] 「下午好」
[旁白] 我和椎叶同学进入活动室的时候，因幡同学和户隐学姐已经坐在椅子上了。
[旁白] 虽然没有特别指定过，但是每天都在这里度过的话，自然而然位子就定好了。
[旁白] 因幡同学在中央扎营，椎叶同学在她旁边，戸隠学姐坐在她们对面………………诶？那边靠窗户的座位是谁的？不是我的座位……吧。
[旁白] 有种和在教室时同样的违和感……
[紬] 「说起来……那边的椅子，本来就在那里的吗？」
[爱瑠] 「诶？啊，好像是呢……我觉得之前就在的吧……」
[憧子] 「但是，那里应该没有人坐吧？超自研一共只有我们4个人啊」
[紬] 「是呢……嗯———嗯……来咨询的人的椅子——在，在这里呢……咦？」
[旁白] 这个违和感……到底是什么。
[爱瑠] 「啊，说起来学长」
[柊史] 「嗯？」
[爱瑠] 「那个，是什么自我展示吗？」
[柊史] 「那个？」
[爱瑠] 「你看那个啊，一个人的大头贴。不是贴在储物柜那里了嘛」
[柊史] 「一个人的大头贴？」
[旁白] 被这么说了后，我去储物柜那里确认——
[柊史] 「唔哦哦哦哦哦哦！？这啥玩意儿！？」
[紬] 「哇……确实只有保科君一个人呢。这个大头贴」
[憧子] 「感觉保科君还真是寂寞呢……那么想照的话，明明跟我一说我就会陪你一起照的……」
[柊史] 「完全不是这回事！我本来就对大头贴没兴趣。而且也没有特意去展示出来的必要！」
[爱瑠] 「但是……这个，是保科学长没错吧？」
[柊史] 「确实……是我呢，虽然完全没有印象」
[爱瑠] 「为什么要贴在这个地方呢？」
[柊史] 「谁知道呢？我自己也完全不……」
[旁白] 不知道。没有照过的印象，也没有贴过的印象。
[旁白] 就算真的一个人去照了，也不会把这么难为情的东西贴出来。
[旁白] 但是这个毫无疑问就是我吧………………嗯……
[柊史] 「……啊，咦？」
[旁白] 看到这张大头贴……不知为何会感到莫名的悲伤，想要哭出来。
[旁白] 为、为什么？到底是为什么……？理由完全不知道。虽然不知道但是——很痛苦。
[旁白] 不是因为一个人去照了大头贴。并不是那种表面上的东西，而是感到内心的深处被揪着似的……
[柊史] 「那个……这个，就这么贴着可以吗？」
[紬] 「这倒是没关系，如果保科君想这么做的话……但是有什么意义在里面吗？」
[柊史] 「意义吗……谁知道呢？感觉好像没有吧」
[柊史] 「虽然感觉没有……但是感觉不贴在那里不行」
[柊史] 「感觉是非常，重要的东西……」
[旁白] 不想撕下来。虽然说不清楚……但是感觉心中有个声音是这么对我说的。
[柊史] 「我自己也不太清楚……对不起，可以就这么贴着吗？」
[紬] 「这样啊……既然本人都那么说了。那就这么贴着吧」
[爱瑠] 「这个没人坐的椅子怎么办？」
[爱瑠] 「我自己的话，觉得如果可以就让这个椅子继续放在这儿吧……」
[憧子] 「实际上我也是这么想的」
[憧子] 「虽然最初是觉得收起来比较好……但是想象一下的话，又觉得那里没椅子心里总感觉平静不下来」
[爱瑠] 「对吧？我也这么觉得。为什么呢？」
[紬] 「我也赞成」
[柊史] 「我也一样。和刚才的大头贴一样，虽然说不清楚……但是感觉是很重要的东西」
[憧子] 「不光我一人这么想真是太好了」
[紬] 「既然全员同意，那房间就保持原样吧」
[憧子] 「嗯，那就这样吧」
[旁白] 刚好得出结论的时候，传来了敲门声。
[爱瑠] 「啊，来了」
[紬] 「又有人来咨询了吗？」
[憧子] 「今天也努力去帮助别人吧」
[柊史] 「是啊。这是我们大家的超自研。可不能敷衍了事」
[旁白] 说起来我究竟是为什么要加入这个助人为乐的社团呢。
[旁白] 现在已经想不起这其中的理由了……但是能帮上别人的忙，本身并不坏。
[旁白] 不如说……开心的时候也很多。
[旁白] 在这个社团所度过的时间让我很安心。而这种安心感我觉得是很重要的。
[旁白] 所以我……我们为了继续守护这段幸福的时间，今后也会继续聆听大家的烦恼，帮助大家解忧。
[柊史] 「我去买饮料，有谁要我带的吗？」
[憧子] 「如果红茶可以的话，我来泡吧？」
[柊史] 「抱歉，现在想喝点凉的」
[憧子] 「这样啊，明白啦」
[柊史] 「户隐学姐有什么要的吗？」
[憧子] 「嗯—……现在还不用，好意心领啦。谢谢」
[紬] 「我也没什么想要的」
[爱瑠] 「那我要混合果汁，可以吗？」
[秀明] 「诶？柊史？」
[柊史] 「海道。你还没走啊？」
[秀明] 「啊，稍微去了下办公室」
[柊史] 「又惹谁生气了？」
[秀明] 「我就是去问了下上课不懂的地方。然后渴了所以来了」
[柊史] 「嗯……看起来很努力的样子啊」
[秀明] 「嘛，一直在玩的话，大概就没法让她在意到我了吧」
[柊史] 「有努力就好」
[秀明] 「你也是，说别人前自己先加把劲。首先找个女朋友吧」
[柊史] 「就算你这么说……哪儿会有邂逅……」
[秀明] 「哈？学生时代就这么说的话，以后注定孤独一生哦」
[柊史] 「这个确实有点麻烦啊」
[旁白] 我这么回答着，将自己的橙汁和因幡同学的混合果汁买了下来。
[秀明] 「没办法。下次就特别为你安排一场联谊会吧」
[柊史] 「联谊？那种现充的活动我不太习惯」
[秀明] 「就因为你老这样说所以才没邂逅的啦。凡事都要有经验」
[柊史] 「……那个，嘛……确实」
[秀明] 「那就这么定了！该拜托谁呢，可以的话希望水准高点啊—」
[秀明] 「绫地同学会不会来呢？」
[柊史] 「绫地同学？」
[秀明] 「诶！？你不认识吗！？就算不是一个班，她可是我们年级人气NO.1哦！」
[秀明] 「啊正好，就是那边正走着的人，就是那个女孩子哦！」
[柊史] 「………咦？」
[旁白] 一瞬间两双眼睛对上了。
[旁白] 但也只是一晃，什么也没说彼此就收回了视线。
[秀明] 「她你肯定见过吧？」
[柊史] 「不，没有印象。第一次见」
[柊史] 「但是……确实很可爱呢」
[秀明] 「哦，这反应不错啊。知道了。联谊我会想办法把她拉上的，交给我吧」
[柊史] 「做些乱来的事，对方也会困扰吧？」
[秀明] 「我当然知道啦。因为是个老实的孩子所以说不定会不答应，但我会尽力的。你也别到最后关头跑了哦」
[柊史] 「会做好觉悟的」
[秀明] 「那就这么定了！不过你的反应不错嘛」
[柊史] 「凡事都要有经验吧？确实经验很重要」
[柊史] 「而且，最近特别强烈地感到要积极向前看」
[旁白] 想不起来理由。为什么会这么想呢……
[旁白] 虽然不清楚，但是这是我心中确切的想法。
[旁白] 不原地踏步，要好好地向前方迈出脚步。
[柊史] 「我会努力的」
