06 派对中的并肩休息
[柊史] 「我并没有那个打算，真的啊。那个时候，正因为绫地同学给加了油，我才能这么努力」
[柊史] 「所以真的谢谢你了，绫地同学」
[宁宁] 「诶，啊，嗯……啊，不、不用客气……」
[柊史] 「嗯」
[宁宁] 「说起来，像这样只有两个人聊天，还真是久违了呢」
[柊史] 「啊，啊啊，嗯，的确。虽这么说，但我入部之后不久因幡同学就很快入部了，所以可能也说不上是令人怀念就是了」
[宁宁] 「明明暑假结束的时候，还是只有我一个人的安静的社团活动，等回过神来的时候部员已经有四人了。感觉真厉害啊」
[柊史] 「虽然只是暂时的，但是现在学姐也在所以是5个人哦」
[宁宁] 「啊，说的也是呢」
[柊史] 「不觉得有点吵吗？」
[宁宁] 「也许吧。不过，这样欢乐的社团活动也挺不错的」
[旁白] 绫地同学回忆着过去的每一天，笑了起来。
[宁宁] 「……？怎么了？」
[柊史] 「啊，没什么」
[旁白] 和平时在教室里看见的微笑不同……比平常看上去更有魅力，我不由得看入迷了。
[柊史] 「如果要说我改变了的话，我觉得绫地同学也变了哦」
[宁宁] 「诶？我……吗？」
[柊史] 「是的。因为你看，像那样站在众人面前这种事，以前的绫地同学的话根本就不可能吧？」
[柊史] 「而且现在的表情……欢乐的社团活动挺不错的，这么说着的绫地同学的笑容……感觉很棒」
[柊史] 「那个，非常可……可爱，我觉得」
[宁宁] 「———」
[柊史] 「啊并不是说平常不可爱哦，我是说比平常看上去更可爱——」
[宁宁] 「请不要……说些奇怪的话啊。我要生气了哦」
[柊史] 「对、对不起」
[宁宁] 「不用，并不是需要道歉的事……」
[宁宁] 「而且，虽然发生了很多事……但我很高兴，这也是事实。谢谢你」
[柊史] 「啊，那啥，那个，我才应该谢谢你，很荣幸能帮上忙」
[宁宁] 「差、差不多，该回去了吧」
[旁白] 的确太晚的话，也许会引起奇怪的误会。
[旁白] 不过……大概，我现在满脸通红吧。就算在这种状态下回去，感觉也会引人注意吧。
[柊史] 「我过一会儿再回去好了」
[柊史] 「台上的亢奋感还有一点残留，身体稍微有些热。绫地同学，你没问题吗？」
[宁宁] 「你这么一说的话，还有一点……」
[柊史] 「那……绫地同学也在这里再休息一会儿怎么样？」
[宁宁] 「也，是呢。保科君要那么做的话……我就也再休息一会儿吧」
[旁白] 我和绫地同学并排站着。二人一起，在夜空之下，放松身心。
[旁白] ……只是很不可思议的是，不管过了多久，身体的热量都没能退去。
