15 第一次邀约前的紧张准备
[柊史] 「是吗？这应该只是个人喜好的问题吧？」
[憧子] 「嘛，虽然我也知道即便去模仿，也没法变成他那样啦，身体构造，还有骨骼什么的都会有影响……」
[柊史] 「我倒是觉得学姐你不用勉强去改变，保持现在这样就已经很好了」
[憧子] 「是吗？虽然知道是客套话，但被你这样一说我也觉得很高心呢」
[旁白] 虽然我并没有说客套话的意思……。
[旁白] 但再解释下去也显得过于刻意了……吧？？
[憧子] 「于是呢？」
[柊史] 「诶？于是……什么？」
[憧子] 「所以说，你在想些什么呢？如果是烦恼的话，向姐姐我倾诉也可以哦？」
[柊史] 「不，并不是什么烦恼」
[憧子] 「不用担心，我没打算用这种程度的事抵消掉许诺给你的派对奖励啦。放轻松地跟我聊一下就好哦」
[憧子] 「你看，我又是社团的学姐，又是前学生会长。无论是什么问题都放马过来吧」
[憧子] 「啊，但是……性方面的东西稍微有点不擅长。毕竟姐姐，没有那方面的经验」
[柊史] 「是这样吗？」
[旁白] 虽然不会说经验丰富，但是像学姐这种的受欢迎的程度的话……。
[旁白] 不过，听她这么一说，好像确实没有听说过学姐有和谁交往的传言。
[柊史] 「学姐的心意我领了，但是真的没有什么需要商量的事哦」
[憧子] 「这样啊，好遗憾，明明想要趁这个机会好好地表现自己的年长魅力——」
[柊史] 「说起来，你加入了超自研了吧」
[憧子] 「嗯，毕竟之前一直都在学生会工作……卸任后总觉得时间多得不知道该怎么打发」
[憧子] 「但是到现在还去学生会露脸的话，会给越路同学她们添麻烦的吧」
[柊史] 「越路同学的话，应该不会觉得那是麻烦啦」
[憧子] 「嘛，或许吧……但是依赖那份温柔，一直在学生会打扰的话不会是显得太过粗神经了吗？」
[憧子] 「我说的意思，保科君应该是明白的吧？」
[柊史] 「啊，抱歉，是我太欠考虑了」
[憧子] 「并没有在生气啦，只是！界线已经划出来了。我再毫不顾忌地再越过那条线就有些不好了」
[憧子] 「就算不考虑这点，已经退隐的前辈一直在眼前转的话，也会让人难受吧」
[柊史] 「所以，就加入了超自研么」
[憧子] 「唔……难道说碍事了吗？」
[柊史] 「没有那回事哦，绫地同学她们也是，非常高兴户隐学姐能入部」
[憧子] 「能够帮助别人解决烦恼，是好事对吧？」
[柊史] 「嗯，我也是这么想的」
[憧子] 「所以我想要帮超自研的忙，如果能帮上忙的话，我也想要帮助保科君解决烦恼……」
[憧子] 「既然不是烦恼也就没办法了，但是，如果发生了什么的话可以来找我商量哦？」
[柊史] 「嗯，到那时候就拜托你了」
[憧子] 「随时欢迎，嘛，这事先放一边。奖励那边也要好好考虑一下呢，到底什么比较好呢？嗯……虽然也可以听听保科君的愿望啦」
[憧子] 「但如果被年轻男生提出了H的要求的话，反而会感到困扰呢，姆呼呼」
[柊史] 「我可没有当面直接提那种要求的勇气啦」
[憧子] 「那么……不直接的话，就可能会提了吗？」
[柊史] 「唔……这个……我也是男生嘛……还是稍微有一点兴趣的」
[憧子] 「还真是坦率呢。我很喜欢你这一点哦」
[柊史] 「―――ッ」
[憧子] 「诶呀，午休差不多要结束了。得回教室了。保科君也不要迟到哦」
[柊史] 「是」
[憧子] 「那么，社团活动时再见~」
[旁白] 户隐学姐轻轻挥了挥手，回教室去了。
[柊史] 「这是第一次……吧？让我无法感觉到感情的人……」
[旁白] 或许正因如此吧？
[旁白] 刚刚户隐学姐说『你这一点，我很喜欢哦』的时候，我的心脏不禁猛跳了下。
[旁白] 但是，这并不是说我因为她的话而小鹿乱撞，只是单纯的吃惊而已。
[旁白] 迄今为止，别人对我说这种话时，我都能很自然地分辨出是『客套话』、『开玩笑』，还有『谎话』之类的。
[旁白] 所以才不会显得慌慌张张……。
[柊史] 「……户隐学姐说出那种话时到底是怎么想的呢？」
[柊史] 「不过，毕竟她是个经常说些轻微性骚扰发言的人呐…………诶，咦？」
[柊史] 「说起来，和学姐说话的时候，感觉好像总是在考虑那方面的事啊」
[旁白] 为什么到现在注意到呢？
[旁白] 倒不如说………这不是很糟糕吗……。
[旁白] 一旦意识到的话，就会感觉和学姐说话很恐怖。
[旁白] 如果一不小心说出什么奇怪的话，惹得她不高兴该怎么办啊……。
[旁白] 对此有些不安……但是……。
[柊史] 「这其实才是普通的吧，毕竟不了解对方的想法才是理所当然的，对于大家来讲这才是普通的……」
[旁白] 以前一直憧憬着，却不知何时放弃了的，与大家一样的“普通”……。
[柊史] 「啊！不好，不赶快回教室的话！」
[女子学生Ｄ] 「绫地同学！请务必和我们一起组乐队！然后，以“天使的歌声”为宣传语出道吧！」
[寧々] 「抱歉……那次，只是临时帮忙而已啦」
[女子学生Ｄ] 「听到台下的欢呼声和称赞声，感觉挺不错的吧？难道不想在更大的舞台上更多地感受这些吗？」
[寧々] 「对我的评价这么高虽然是很高兴啦……不过真的很对不起。我果然还是不太擅长在人前出风头」
[女子学生Ｄ] 「………………哈，这样啊，那没办法了……啊啊，绫地同学参加的我觉得肯定能成为顶尖的啊……」
[女子学生Ｄ] 「啊！不过如果改变主意想要沐浴在欢呼无称赞声中的话，一定要先跟我说啊！约好了哦！」
[寧々] 「哈……我知道了」
[旁白] 和绫地同学定下约定少女从活动室离开了。
[旁白] 嘛，如果绫地同学能够当主唱的话！冲击力的确是足够了。
[旁白] 之后只要乐队演奏也能达到一定水准，成名应该也不是梦吧。
[旁白] 前提是她本人要有兴趣就是了。
[寧々] 「……啊，真是好累啊」
[憧子] 「辛苦了，给，这是茶，喝点茶平复一下心情吧，啊，很烫的要小心哦」
[寧々] 「谢谢你，户隐学姐」
[寧々] 「呼……呼………………………哈，真好喝」
[旁白] 精疲力尽的绫地同学讲将茶慢慢吹冷，一点一点地喝着。
[めぐる] 「这已经是第三批来邀请宁宁学姐加入乐队的了吧？」
[紬] 「如果算上在教室里邀请的人的话，就更多了哦」
[めぐる] 「是这样吗？呜哇，感觉真是辛苦啊……」
[寧々] 「虽然夸奖的确让人很高兴啦……不过还是希望大家能让我过得更悠闲一点呢」
[憧子] 「嘛嘛。这不也说明那晚你们的表演有多出彩么」
[寧々] 「被夸奖本身的确是很光荣，我也觉得很高兴啦…不过总感觉精神上好疲劳啊…………」
[旁白] 不知为何，连旁观的我都感到心情沉重起来
[柊史] 「知道绫地同学没有那个意思之后，大家也会都很快放弃了啦」
[柊史] 「乐队的邀请应该到明天就会平息下去吧，今天的大家只是还沉浸在派对的余韵之中而已。」
[寧々] 「如果真是这样的那就谢天谢地了……」
[めぐる] 「今天差不多到这儿吧？宁宁学姐，脸色和声音都显得疲惫呢」
[紬] 「差不多也要到特别教学楼关门的时候了，也不会有人来找我们谈心了吧」
[柊史] 「就这样吧，绫地同学，今天的社团活动就到此为止吧，好好地休息一下比较好」
[寧々] 「……我知道了，不好意思，那就恭敬不如从命了」
[憧子] 「虽然帮助他人非常重要，但是如果为了这个把自己身体搞垮了也不好呢」
[憧子] 「我来负责活动室的收拾和最后的锁门，绫地同学就先回去吧」
[寧々] 「……那可以接受你的好意吗？」
[憧子] 「嗯。交给我吧」
[寧々] 「那我就先走了」
[憧子] 「辛苦了，回去好好休息吧」
[紬] 「等等，等等，我也稍微有点担心你，所以一起回去吧」
[めぐる] 「啊，那我也一起！学长准备怎么办呢？」
[柊史] 「男生跟着的话说不定会让绫地同学产生额外的负担，所以我就在这里帮忙收拾吧」
[旁白] 有椎叶同学跟着的话，哪怕碰到突然发情也能帮着度过难关吧。
[めぐる] 「了解的说」
[紬] 「那么，我们就先走了」
[柊史] 「啊啊，辛苦了」
[憧子] 「明天见～」
[旁白] 我和户隐学姐目送一脸辛劳的绫地同学离开活动室。
[旁白] 因幡和椎叶同学则像是从左右支撑着她一样，一同走着。。
[憧子] 「……在放学后的活动室里，2人独处呢」
[旁白] 果然，户隐学姐的真正想法无法传达过来。
[旁白] 听到这种好像隐含有其他意思的话，我不禁有些动摇……。
[柊史] 「能别老是像这样戏弄我么？」
[憧子] 「咦咦？我只是单纯地在叙述事实而已」
[柊史] 「刚刚那个，绝对是故意的」
[憧子] 「姆呼呼，嘴上这么说，你的脸很红哦？」
[柊史] 「我很不习惯这种事啦……真的是饶了我吧……」
[憧子] 「抱歉抱歉，时间也差不多了，把门锁上吧」
[柊史] 「嗯，说的也是」
[柊史] 「不过在此之前……学姐，可以稍微占用你一点时间吗？」
[憧子] 「我也没什么急事，所以没问题哦，啊，难道说是有事商量么？」
[柊史] 「与其说是商量，不如说，是有事想拜托你哦？？」
[憧子] 「保科君拜托我？」
[憧子] 「啊，难道说是奖励？有什么想要的东西了吗？好，那就来听听保科君的要求吧」
[憧子] 「来吧来吧，老实地说出来吧，想要大姐姐做些什么呢？」
[柊史] 「可以和我，聊聊天吗？」
[憧子] 「聊天是……现在！不就是在聊天吗？还是说性方面的话题？啊，难道要在床上说吗？呀，H」
[柊史] 「都说了，我不会提出那种下流的请求啦」
[柊史] 「并不是想聊什么特别的话题，也不是想性骚扰什么的啊，只是想和学姐好好地聊下，希望学姐能够多告诉我些你自己的事」
[柊史] 「特地说『想要聊天』，大概会让你觉得是有什么特别的意思吧，但并不是有什么特别的话题……真的是普通的聊天就可以」
[憧子] 「感觉气氛好认真啊，抱歉啦，像往常一样用开玩笑的口气回答你」
[柊史] 「不，没关系，倒不如说，是我太唐突了」
[憧子] 「但是，突然间是怎么了？为什么想要了解我的事？」
[柊史] 「这个……所以说，那个……并没有什么特别的理由啦」
[柊史] 「只是明明在同一个社团，我却对学姐一无所知……突然注意到了这点，就有种放不下的感觉」
[憧子] 「嚯……这样啊」
[柊史] 「所以，想要和学姐一起，慢慢地消磨一段时光」
[旁白] 这种说法有点过于意味深长了吧？但是，也找不到其他什么合适的表达方式――
[憧子] 「这个……该怎么办才好呢……」
[柊史] 「果然……不行吗？」
[憧子] 「聊天本身完全没问题哦，一点都不会觉得讨厌」
[柊史] 「这样啊，太好了……」
[旁白] 学姐对于我的请求，并没有什么不快的样子。
[旁白] 真是太好了……一直担心会被说『总感觉好恶心，所以不要』之类的话，心里七上八下的。
[柊史] 「但是，那学姐刚刚为什么会发出烦恼的声音呢……？」
[憧子] 「因为，只是聊天的话算不上奖励吧？聊天只是很一般的事啊」
[憧子] 「所以有一种和奖励不一样的感觉……嗯……那么，这样吧。下次休息日一起去外面聊吧，就两个人」
[柊史] 「……诶？就两个人？」
[憧子] 「没错，就我们两个人。想要慢慢谈的话这样更好吧？」
[柊史] 「那，那不就是……」
[旁白] /也就是说，约会……是吧？
[憧子] 「能算是……约会吧？一起吃饭，聊天，男女两人单独在外面碰面。却是，这种事说成约会应该也没什么不妥吧」
[旁白] 如此说着的户隐学姐，挂着一如既往的笑容。
[旁白] 并没有想要戏弄我或者开玩笑的样子，而是在认真地提议。
[旁白] ……和户隐学姐一起约会啊……
[憧子] 「这样可以吗？」
[柊史] 「嗯。拜托了」
[憧子] 「那么就决定了！乐队演奏成功的奖励就是与大姐姐我约会……这样说的话或许有些傲慢了呢，啊哈哈」
[柊史] 「没、没有，我完全不会这么想，谢谢你，学姐」
[憧子] 「哪里哪里。那么，请多指教了」
[柊史] 「请、请多指教」
[柊史] 「和户隐学姐约会啊……」
[旁白] 离那天还有段时间，况且就算到了当天也只是普通地和学姐聊天而已。
[旁白] 对，只是因为想要了解户隐学姐这个首次遇到的不会传感情过来的对象，而单纯地聊天而已。
[旁白] 户隐学姐当然也没有什么深层次的意思在里面……吧。
[旁白] 只是单纯的一起出去聊天而已，没有必要紧张。
[柊史] 「即便明白是这么回事……但果然还是会紧张」
[旁白] 虽然学习会的时候，我只有我一个男性也很紧张……但即便如此那也只是社团活动的延伸而已。
[旁白] 但是这次不一样，和社团活动无关，只有两个人一起出去
[柊史] 「……呜哇，这真的就是约会吧，不可能是约会以外的任何东西吧」
[柊史] 「约会……约会啊……」
[柊史] 「我没有约会穿的衣服啊！？」
[旁白] 慌慌张张地确认了一下，全都是T恤和Polo衫一类的衣服。
[旁白] 全都是这种乏味土气的搭配啊！
[柊史] 「果然还是应该去稍微买点新衣服！？等下，要买什么样的衣服啊！？」
[旁白] 不、不知道！到底该怎么搭配才比较好啊！？
[旁白] 既然不想让户隐学姐蒙羞，也不想让自己显得失礼。但到底该怎么办才好呢！？
[柊史] 「……哈……好困……」
[旁白] 到最后，考虑各种各样的事情一直到深夜，结果现在稍微有点睡眠不足。
[旁白] 但是，即便如此也没有的出结论。
[柊史] 「呼哈……」
[秀明] 「早」
[柊史] 「早上好」
[秀明] 「一大早站在这里干什么呢！」
[柊史] 「在考虑各种各样的事情」
[秀明] 「有烦恼的话，去找超自研的同伴咨询一下不是更好吗？」
[柊史] 「一般来讲是这样没错啦
[柊史] 「但是，这回关系到我作为男人的名誉，和女孩子谈的话有点不好意思啊」
[秀明] 「嚯嚯，好像是什么好玩的——啊不，令人感兴趣的话题啊」
[秀明] 「那么，不来求助一下同样是男人的我吗！」
[柊史] 「诶……海道么……？」
[秀明] 「什么啊你这失礼的反应。不说说看你怎么知道我不行啊！你看，打鼓那件事你一开始不是也不知道吗！」
[柊史] 「这倒是」
[旁白] 而且，海道社交能力很强。
[旁白] 和谁都能相处好，而且精通各种话题。还搞过乐队。
[旁白] 好好想一下的话……海道其实不就是个现充么！？
[秀明] 「我会认真替你筹划的啦，跟我说说吧，好啦，come on come on」
[柊史] 「今天还真是缠着人不放啊？」
[秀明] 「柊史会像这样烦恼很稀奇那，所以我挺在意是什么样的烦恼」
[柊史] 「你只是觉得好玩吧？」
[秀明] 「多少有点吧？但主要还是在担心你哦？不会笑话你的啦，我会好好帮你参谋的」
[柊史] 「说到底就是因为担心被嘲笑才会踌躇着不想说出来的」
[旁白] 但是，这样下去一个人烦恼着也没办法去解决。
[旁白] 时间……还够吧。
[柊史] 「换个地方吧」
[旁白] 然后，我将排队上乐队演奏成功后，从户隐学姐那里得到了奖励的事、
[旁白] 还有奖励内容感觉像是约会的事，都对他做了说明――
[柊史] 「所以，我在烦恼着……约会到底该怎么做好呢」
[秀明] 「约会啊……原来如此，唔——」
[秀明] 「………」
[秀明] 「……呵，啊哈哈哈哈！这种事，现在的中学生不都会烦恼的啊！啊哈哈哈哈」
[柊史] 「果然笑出来了」
[秀明] 「不，抱歉抱歉，一不小心，因为我没想到你的烦恼竟然是约会啊」
[柊史] 「虽然你这么说，但我觉得抱有这种烦恼的人可是有不少哦」
[旁白] 之前川上君也是。这个年纪烦恼第一次约会该怎么做，这难道不普通吗？
[秀明] 「嘛是呢。虽然笑了你，但是你的想法我可以理解，哎呀，我第一次和女孩子出去玩的时候也非常紧张啊。」
[秀明] 「为了那一天，还特地去买了新衣服呢。但是却因为穿不惯而失败了呐ー」
[柊史] 「果然，约会要准备件光鲜的衣服吗？」
[秀明] 「该怎么说呢。虽然要注重外表是事实……但也不需要特别去买什么高级服饰啦」
[秀明] 「特别柊史这种情况，就更是如此了吧？形式上是约会没错，但没有什么特别的含义在里面吧？也没有正式交往」
[柊史] 「嘛……说的也是」
[旁白] 我的首要目标，是多和户隐学姐聊天。并且，弄清楚为什么无法读取对方的感情。
[旁白] 如果能明确地查出其中有什么理由的话…说不定，今后就有办法掌控住自己的能力了。
[秀明] 「我觉得重要的是和对方的衣服搭配哦?」
[秀明] 「举个极端的例子，一个人穿着很休闲随意而另外一个人穿的很正式死板的话，看起来会很不协调吧?」
[柊史] 「确实呢。 且不说社会上的人，对于学生来说就更是如此了 」
[秀明] 「虽说皱巴巴的衬衫，脏兮兮的牛仔裤再怎么说也不太可行。但只要干净，普通的衣服就可以了。我觉得不需要想太多哦」
[柊史] 「原来如此……」
[旁白] 这么一说，感觉海道所言不虚。
[旁白] 仅仅我一个人太过在意的话，反而会让户隐学姐害羞的吧。
[秀明] 「比起衣服，在一起时你的态度才更重要」
[柊史] 「我倒是没打算做那种失礼的事啊」
[秀明] 「会这样想的吧? 机会难得，还是应该帅气地引领对方，带她去有品位的咖啡店喝茶之类的，你是这么想的吧?」
[秀明] 「实际上并不会这么顺利的。再说，会烦恼穿什么衣服的男人怎么可能引领好对方啊」
[柊史] 「这……」
[旁白] 毫无还口之力。
[秀明] 「一直持续愉快的谈话可是很难的哦?另外，还有很多地方要注意哦。比如配合对方的步幅，帮对方拿包什么的」
[秀明] 「这些全部都要习惯。要在失败中学习，在尝试中成长哦」
[柊史] 「这，这样啊……」
[秀明] 「所以我更担心你了。至今为止你都没试过和别人好好打交道吧
[柊史] 「嘛….说的也是」
[秀明] 「经验值压倒性不足的你，居然一下子就要和户隐学姐约会….」
[秀明] 「哎呀，担心得都睡不着觉了啊。所以让我跟去看看如何? 啊，会好好地藏起来啦」
[柊史] 「即便你现在收起那个坏笑也绝对不行」
[秀明] 「切。嘛，没办法了」
[柊史] 「我不是说过没什么特别的了吗? 这样毫无情趣的约会，你看了又能怎么样?」
[秀明] 「你搞错了。情趣并不是凭空冒出来的，而是靠自己创造出来的啊」
[秀明] 「就算是对方没有这方面的意思，由自己来让对方意识到才能算是约会啊」
[柊史] 「…..总感觉莫名其妙地有说服力啊，你这家伙」
[柊史] 「嘛，能一起出去就已经让我觉得很高兴了…我会努力保持话题不会中断的」
[秀明] 「刚开始可能做到这种程度就好了。这也想要那也想要太贪心的话，反而更容易出篓子呢」
[秀明] 「没话强行找话说地白忙活，或者一个人自顾自地说得开心也都是问题，要记好哦」
[旁白] 感觉…约会好难啊
[旁白] 而且对象还是户隐学姐呐。
[旁白] 两个人一起出去什么….倒不如说，如果被别人知道了现在的超自研的情况的话，会被其他男生嫉妒死吧。
[柊史] 「顺便问下，海道你和不怎么熟悉的对象聊天时都聊什么话题啊? 」
[秀明] 「虽说也要看当时的时间地点还有具体情况…但让我想想…..先以眼前的东西作为话题怎么样?」
[秀明] 「在咖啡店的话，聊咖啡红茶什么的，总之先以眼前看到的东西为话题，试探一下对方的兴趣在哪里如何?」
[旁白] 啊，是呢…..
[旁白] 至今为止，都能明确地感受到对方有无兴趣之类的，但是在户隐学姐身上却感觉不到。
[旁白] 不好好地察言观色是不行的啊….真是难办呢……
[旁白] 只是我一直以来比较特殊， 现在这样才算是一般情况吧。
[秀明] 「我说过的吧?在错误和尝试中学习。嘛，总之就是去试试看啦」
[柊史] 「是呢。事到如今也不能退缩。我会努力的」
[旁白] 总之， 先在脑海中模拟几个对话看看吧。
[柊史] 「话说回来，你既然这么经验丰.富…且还挺可靠的…难道，已经登上了大人的阶梯了吗?」
[秀明] 「….我还是童贞呢。我可是为了关键时刻保留着哦」
[旁白] 啊..这就是那种在玩RPG时保留着珍稀道具，结果到最后通关都没用掉的人呢
[旁白] 话说，那玩意儿有必要守护到这种程度吗?
[秀明] 「就算是处男，一旦和性质恶劣的女人交往过，也能学到各种各样的事哦。仅仅是那份经验就能让你成长不少」
[秀明] 「因为痛苦的经历…..也就是那么的多啊…..」
[柊史] 「….你也很不容易…..如果发生了什么的话，就来超自研吧?」
[秀明] 「如果有那时的话，就拜托你们了」
