02 从游戏话题到自然相处
[旁白] 表现自己的时机，只有现在！
[柊史] 「总之试试看吧」
[旁白] 因幡同学买了饮料，一边表现出午饭后的自然状态，取出了3DW。
[旁白] 然后咔嚓咔嚓地操作了起来。
[旁白] 顺带一提，我再怎么说也不好进到她的教室里去，所以原本打算回自己的教室去——
[旁白] 但还是非常在意事情能否顺利。
[旁白] 因此，我只得无奈地在走廊的一角窥视着教室里的情况。
[爱瑠] 「（这样真的能顺利么？）」
[爱瑠] 「（话说，进任务真的好吗？还是该在房间里等着？不，可是，现在应该不要表现得太怪，正常地进任务吧？）」
[旁白] 这么想着，总之先进狩猎龙的任务时，一个女生靠了过来。
[女同班同学A] 「咦？因幡同学，那是3DW？在玩什么？」
[爱瑠] 「啊，那个……怪，怪猎」
[女同班同学A] 「就是很受欢迎的那个？好玩么？」
[爱瑠] 「啊，嗯。我还挺喜欢的，吧」
[女同班同学A] 「是么……啊，对了，说起来……」
[女同班同学A] 「呐呐——我记得你是不是在玩怪猎？」
[女同班同学B] 「诶？我？之前的系列倒是玩过，但这次的还没有买啊」
[女同班同学B] 「怎么了？要玩怪猎？」
[女同班同学A] 「没有，不是我，是因幡同学在玩」
[女同班同学B] 「这样啊？4th怎么样？系统之类的」
[爱瑠] 「啊，那个，很有趣哦。因为新导入了骑乘系统之类的。之前觉得有趣的话，我认为这次也会觉得有趣的」
[女同班同学B] 「骑乘系统？」
[男同班同学A] 「什么什么？在说怪猎？我们现在玩得很入迷啊」
[女同班同学B] 「不，不是我，是因幡同学」
[男同班同学B] 「是么？因幡同学，玩到什么程度了？」
[爱瑠] 「那个……三百小时左右……等级91」
[女同班同学B] 「三百小时！？太能玩了吧，什么啊，简直好评」
[男同班同学B] 「不，那是真的很厉害啊」
[男同班同学A] 「啊，对了，那你打掉限时任务了么？我还没打过去啊」
[爱瑠] 「啊，嗯。打掉了」
[男同班同学A] 「真的？能稍微帮下忙么？」
[爱瑠] 「啊，嗯。没问题的」
[柊史] 「噢噢……感觉顺利得超乎想象」
[旁白] 太好了。
[旁白] 不愧是怪猎，真是优秀的交流途径！
[柊史] 「这样的话，就没问题了吧」
[旁白] 我放下心来，离开了那里。
[旁白] 这就是，我解决的第一个问题么。
[柊史] 「挺开心的啊……嘿嘿」
[旁白] 出乎意料地开心，很有成就感。
[旁白] 我一边像这样品味着派上了用场的满足感，一边上完了下午的课。
[旁白] 然后迎来了放学——
[爱瑠] 「真是糟透了，简直受不了。简直麻烦得不行_(:3」」
[爱瑠] 「欸欸学长你有在听吗？」
[柊史] 「在听在听，我在听你别敲桌子了」
[柊史] 「话说，你为什么要来这里发牢骚啊！？明明午休的时候在班上那么开心的！」
[宁宁] 「是那样么？到底是怎么做到的……」
[柊史] 「我发现因幡同学其实很擅长游戏，于是就想到能够利用那一点在班上交到朋友」
[宁宁] 「游戏？」
[柊史] 「是一个叫怪物猎人的游戏。你不知道么？」
[宁宁] 「不好意思，我不知道。我对那种东西不太熟悉……」
[柊史] 「是这样么？明明电视上也有广告的」
[柊史] 「嘛，就是动作游戏。和巨大的怪物战斗的游戏」
[宁宁] 「哈，是那样么」
[柊史] 「总而言之，利用了那个游戏，午休时她在班上大受欢迎了」
[宁宁] 「但是现在却来发牢骚么……到底发生了什么？」
[爱瑠] 「招致一部分女生的反感了啊……真是糟透了」
[柊史] 「反感？为什么？」
[爱瑠] 「说我是为了受男生欢迎才去玩男生喜欢的游戏的」
[柊史] 「哈？那算啥啊」
[爱瑠] 「被当成是对男生献媚了。说我为了受男生欢迎才玩怪猎这种游戏的」
[柊史] 「真的？单纯为了刻意讨好他人的人哪能单刷到三百小时啊」
[爱瑠] 「对吧？没错吧！？但女生就是会那样想啊。这事不讲理的」
[柊史] 「有像男孩子的兴趣的女生真是辛苦啊……真是服了那群二货了」
[旁白] 不过……这样啊。虽说有时机的问题，但在教室里玩游戏还是有点刻意过头了啊。
[旁白] 但是，至于招来反感么？我说不定有点太小看女生了……。
[柊史] 「对不起啊，因幡同学。都是我考虑不周……」
[爱瑠] 「不，没有！不是那样的。她们只是稍微那样想想而已，并没有到对我表现出敌意的程度」
[宁宁] 「说是一部分人……也就是说其他人是接受你的，是这样么？」
[爱瑠] 「那是，这个………………是的。找到能一起玩怪猎的人了」
[宁宁] 「是那样么，那可真是再好不过。太好了」
[柊史] 「总之算是找到容身之处了么……那可真是再好不过」
[旁白] 因幡同学并不是无论如何都想要大受欢迎。
[旁白] 只要能在教室中制造出一片属于自己的容身之处，就足够解决问题了。
[爱瑠] 「是的。十分感谢，绫地学姐，保科学长」
[爱瑠] 「不过，那个……要完全融入进去，可能还需要一些时间……所以又有什么事的话，到时候……还可以再来这里吗？」
[宁宁] 「好的，没有问题。到时请不用客气尽管来」
[爱瑠] 「十分感谢，绫地学姐」
[柊史] 「于是，可以认为你今天是来报告这个的吗？」
[爱瑠] 「虽然也有那个原因。不过今天，不如说是为了保科学长而来的吧」
[柊史] 「为了我？为什么？什么意思？」
[爱瑠] 「你在说什么啊。要打造天马装备的话，学长的素材应该还不够的。所以，我来帮你了喔」
[柊史] 「不，但是，不和班上的同学玩没问题么？」
[爱瑠] 「虽然男生在玩，但女生没有在玩啊。和男生玩太多的话，就会被反感……」
[柊史] 「啊啊」
[旁白] 听起来真的很麻烦啊，女生之间的交际。
[爱瑠] 「还有……也作为中午的回礼……」
[爱瑠] 「不，什么都没有。比起那个学长，怪猎！任务道具，你想要的对吧？」
[柊史] 「啊啊，帮大忙了！谢谢！」
[柊史] 「不过，我玩得不怎么好，说不定会拖因幡同学的后腿啊」
[爱瑠] 「所以我不是道歉了吗，说过对不起了吧！然而你这个态度！这个阴郁的学长是怎么回事啊！」
[爱瑠] 「真是的——————！好烦，这个人真的好麻烦————！」
[柊史] 「能别大声嚷嚷那种失礼的话么！」
