36 陪她面对父母，一起走向未来
[宁宁] 「也不可能逃避一辈子。我希望，父亲和母亲，都能幸福」
[柊史] 「再加一个，我希望宁宁也能幸福。要是宁宁能够幸福，我也会幸福的」
[宁宁] 「既然柊史君都说到这个地步了……没办法了呢。不能再继续逃避下去了……」
[柊史] 「嗯。太好了」
[宁宁] 「不过那样的话，柊史君也是」
[柊史] 「诶？我？」
[宁宁] 「我说的是柊史君的能力。虽然现在的我，或许说不上能理解柊史君的痛苦……但我也，想要让柊史君幸福」
[宁宁] 「要是柊史君一直在受苦……我也会痛苦」
[柊史] 「宁宁……」
[宁宁] 「只要是我能做到的，什么都可以。所以，请不要一个人痛苦了」
[宁宁] 「不管别人说什么，不管世界上其他人怎么想，我都想要在柊史君身边……一直陪伴在你的身旁」
[柊史] 「……嗯。我知道了。要是有困难，我会好好和宁宁商量的」
[宁宁] 「嗯……」
[柊史] 「不过啊，实际上，我已经不那么在意能力了」
[宁宁] 「是这样吗？」
[柊史] 「这个能力，并不是为了让我痛苦而存在的。当然了，它也不一定会让我幸福就是了……」
[旁白] 因为小时候受苦的缘故，我一直认为这个力量是种麻烦。所以，痛苦也就一直持续着。
[旁白] 但是，多亏了这份力量我才能和宁宁相遇，甚至成为了恋人。
[旁白] 并且，正因为有了这力量我才能够理解宁宁的痛苦。
[宁宁] 「………？」
[旁白] 所以宁宁才会像现在这样在我的面前，和以前一样显得很幸福。
[旁白] 否定能力，否定自己……那样就会看不清周围的事物。
[旁白] 所以我要认同自己，抬起头，向前看。不然会连在我身边的宁宁也陷入迷茫的。
[柊史] 「我看上去，那么的痛苦吗？」
[宁宁] 「虽然并不是那样……但要是，你是为了不让我发现而隐瞒着……」
[柊史] 「不是的。我并没有在隐瞒，只要宁宁愿意在我的身边，我就很幸福了」
[旁白] 我从心底觉得，那个时候……能够向另一个自己的感情伸出手，真是太好了。
[旁白] 正因为鼓起勇气伸出了手，才能够抓住幸福。
[旁白] 我能和最爱的人在一起是如此，关于能力也是如此。
[旁白] 虽然确实有其麻烦的一面，但被能力所帮助、所拯救的时候也有不少。
[旁白] 不仅仅是我自己。
[旁白] 能够让来超自研咨询的人们，而且最重要的是……能够让宁宁获得幸福。
[旁白] 这力量，不是让我烦恼的东西。这力量中，蕴含着能让人们获得幸福的可能性。
[旁白] 正因如此，妈妈才把它赋予了我吧，一定是的。
[旁白] 她将尽可能多地掌握幸福的可能性，赋予了我。
[旁白] 谢谢你，妈妈。
[旁白] 多亏了妈妈，我才能找到真心喜欢的人。
[旁白] 虽然一直以来，我都很消极……但从今往后，我会为了活用妈妈给我的可能性而努力。
[宁宁] 「那么……就为了能够更加、更加地幸福而努力吧」
[柊史] 「嗯。我也会加油的，今后也请多指教了」
[宁宁] 「……是。一直、一直到永远，请多指教！」
[柊史] 「嘛，正因如此，所以我想要你现在和我一起去」
[柊史] 「要是一直在一起的话，我觉得果然还是应该先好好打个招呼」
[宁宁] 「你、你不觉得再怎么说……那还，有些早吗？」
[柊史] 「嘛，因为还是学生呢。不过宁宁已经和我老爸打过招呼了吧？虽说是偶然」
[柊史] 「就算不是现在，我迟早也是打算结婚的」
[宁宁] 「结、结婚……吗……」
[柊史] 「宁宁呢？不想和我结婚吗？」
[宁宁] 「那怎么可能，我也想要结婚的！刚刚是稍微、想象了一下新婚生活……感觉有些不好意思」
[宁宁] 「因、因为柊史君又H又爱欺负人……一、一定会让我做一些，像是穿裸体围裙之类的事吧？」
[柊史] 「嘛、嘛啊……」
[旁白] 这点程度我觉得我是会要求的。另外，或许还会玩共浴play什么的。
[柊史] 「这个先放一边」
[柊史] 「结婚的话，早晚也是要打招呼的，我觉得这是个好机会……还是说我不在比较好？」
[宁宁] 「没有那回事，因为我很不安……所以可能的话，希望和你一起去」
[柊史] 「太好了」
[柊史] 「那么，现在去可以吗？」
[宁宁] 「嗯，没问题的」
[柊史] 「啊，但还是先联系一下比较好吧？」
[宁宁] 「是啊。在出门前先打个电话吧」
[柊史] 「嗯。那么，之后再去买些问候用的点心……你父亲，有什么喜欢的东西吗？」
[宁宁] 「我记得，他应该是喜欢金锷烧的」（译注：金锷烧是日式点心的一种，因其为小麦粉（金）制作的刀锷形（圆形）点心而得名）」
[柊史] 「那就决定买金锷烧了。接下来……」
[柊史] 「那么，宁宁」
[柊史] 「和我一起，奔向幸福吧」
[旁白] 我向宁宁伸出了手。
[宁宁] 「嗯！」
[旁白] 宁宁不仅毫不犹豫，而且还满脸笑容地紧紧握住了我的手。
[旁白] 就这样，我们向着完全未知的，崭新的未来迈出了步伐。
[旁白] 虽然对于前方的未知感到不安，但这是正常的。
[旁白] 大家都是在那之中，抓住各自的幸福的。
[旁白] 所以，我们一定也能够抓住。
[旁白] 两个人在一起，不可能会不幸福。
[旁白] 有宁宁在身旁，我就能感到这样的温暖。这样就没什么好不安的了。
[旁白] 我们的未来，洋溢着炫目的希望。
[宁宁] 「今后也，请多指教了呢」
